Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.3500       -6887.0679  -6888.9004   -6906.8618      17.9615  2171.2
2.3600       -6887.0493  -6890.2998   -6906.6348      16.3350  1974.6
2.3700       -6887.0562  -6891.6606   -6907.3896      15.7290  1901.3
2.3800       -6887.0630  -6892.8335   -6908.2427      15.4092  1862.7
2.3900       -6887.0845  -6893.6709   -6908.0454      14.3746  1737.6
2.4000       -6887.1270  -6894.0117   -6908.7866      14.7748  1786.0
2.4100       -6887.1426  -6893.8877   -6908.8096      14.9217  1803.7
2.4200       -6887.1548  -6893.3877   -6909.3198      15.9322  1925.9
2.4300       -6887.1509  -6892.7319   -6909.4097      16.6777  2016.0
2.4400       -6887.1421  -6892.1528   -6908.0171      15.8644  1917.7
2.4500       -6887.1523  -6891.4912   -6906.6323      15.1412  1830.3
2.4600       -6887.1572  -6890.5396   -6907.9463      17.4066  2104.1
2.4700       -6887.1392  -6889.7627   -6906.0454      16.2830  1968.3
2.4800       -6887.1509  -6889.1187   -6906.1274      17.0086  2056.0
2.4900       -6887.1201  -6888.6392   -6906.4668      17.8274  2155.0
2.5000       -6887.1123  -6888.6074   -6904.7051      16.0975  1945.9
2.5100       -6887.1118  -6888.5977   -6905.3247      16.7268  2021.9
2.5200       -6887.0933  -6888.7363   -6906.1094      17.3729  2100.0
2.5300       -6887.0859  -6889.1860   -6905.8970      16.7108  2020.0
2.5400       -6887.0757  -6889.8223   -6907.2388      17.4166  2105.3
2.5500       -6887.0645  -6890.7935   -6907.3481      16.5547  2001.1
2.5600       -6887.0815  -6891.7178   -6906.4497      14.7318  1780.8
2.5700       -6887.1094  -6892.1943   -6906.9429      14.7486  1782.8
2.5800       -6887.1221  -6892.2764   -6908.4556      16.1794  1955.8
2.5900       -6887.1099  -6892.3037   -6909.2705      16.9670  2051.0
2.6000       -6887.1089  -6892.5112   -6908.5161      16.0047  1934.6
2.6100       -6887.1216  -6892.5801   -6906.7617      14.1819  1714.3
2.6200       -6887.1543  -6892.1401   -6907.4297      15.2896  1848.2
2.6300       -6887.1543  -6891.3545   -6908.9824      17.6280  2130.9
2.6400       -6887.1309  -6890.8696   -6907.8105      16.9408  2047.8
2.6500       -6887.1328  -6890.6030   -6905.7363      15.1332  1829.3
2.6600       -6887.1416  -6890.0820   -6906.3555      16.2733  1967.1
2.6700       -6887.1235  -6889.5166   -6907.5039      17.9873  2174.3
2.6800       -6887.1045  -6889.4653   -6907.1162      17.6510  2133.7
2.6900       -6887.0947  -6889.7769   -6904.9951      15.2184  1839.6
2.7000       -6887.1201  -6889.7910   -6904.0835      14.2924  1727.7
2.7100       -6887.1401  -6889.3047   -6905.7021      16.3973  1982.1
2.7200       -6887.1309  -6888.7676   -6906.3188      17.5514  2121.6
2.7300       -6887.1050  -6888.5835   -6905.4868      16.9034  2043.3
2.7400       -6887.0996  -6888.5791   -6904.1152      15.5360  1878.0
2.7500       -6887.1133  -6888.4390   -6905.2109      16.7720  2027.4
