Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.9600       -6883.5816  -6876.3938   -6903.3200      26.9262  3254.8
2.9700       -6883.5409  -6875.7261   -6902.2060      26.4799  3200.9
2.9800       -6883.5164  -6875.7705   -6901.0907      25.3202  3060.7
2.9900       -6883.5055  -6876.1462   -6901.6719      25.5257  3085.6
3.0000       -6883.4761  -6876.9505   -6904.0288      27.0784  3273.2
3.0100       -6883.4332  -6878.6716   -6905.6694      26.9978  3263.5
3.0200       -6883.4149  -6880.9837   -6904.4312      23.4475  2834.3
3.0300       -6883.4503  -6882.8122   -6904.7029      21.8908  2646.2
3.0400       -6883.4905  -6883.9350   -6906.0975      22.1625  2679.0
3.0500       -6883.5356  -6884.3493   -6904.5537      20.2044  2442.3
3.0600       -6883.6123  -6883.6878   -6903.1585      19.4707  2353.6
3.0700       -6883.6627  -6881.7016   -6905.4148      23.7133  2866.5
3.0800       -6883.6500  -6879.0927   -6904.8301      25.7374  3111.1
3.0900       -6883.6143  -6876.7750   -6904.5445      27.7695  3356.8
3.1000       -6883.5541  -6875.5091   -6904.0958      28.5867  3455.6
3.1100       -6883.4997  -6875.6357   -6902.3011      26.6654  3223.3
3.1200       -6883.4754  -6876.5561   -6902.1331      25.5769  3091.8
3.1300       -6883.4622  -6877.8421   -6903.0691      25.2271  3049.5
3.1400       -6883.4548  -6879.3582   -6903.9153      24.5571  2968.5
3.1500       -6883.4700  -6880.7416   -6902.5252      21.7835  2633.2
3.1600       -6883.5252  -6881.3344   -6902.2195      20.8852  2524.6
3.1700       -6883.5772  -6880.9812   -6902.0841      21.1029  2550.9
3.1800       -6883.6188  -6879.7200   -6902.6002      22.8802  2765.8
3.1900       -6883.6126  -6877.8531   -6905.1192      27.2661  3295.9
3.2000       -6883.5556  -6876.6401   -6904.0361      27.3960  3311.6
3.2100       -6883.5277  -6876.4363   -6901.4285      24.9922  3021.1
3.2200       -6883.5278  -6876.4806   -6900.6487      24.1681  2921.4
3.2300       -6883.5321  -6876.4658   -6900.8319      24.3661  2945.4
3.2400       -6883.5280  -6876.4632   -6901.8212      25.3580  3065.3
3.2500       -6883.5089  -6876.7032   -6902.4658      25.7627  3114.2
3.2600       -6883.4762  -6877.5216   -6905.0265      27.5049  3324.8
3.2700       -6883.4421  -6879.1379   -6903.7192      24.5813  2971.4
3.2800       -6883.4549  -6880.7922   -6904.0612      23.2690  2812.8
3.2900       -6883.4968  -6881.8848   -6901.9506      20.0658  2425.6
3.3000       -6883.5766  -6881.8151   -6900.9999      19.1849  2319.1
3.3100       -6883.6398  -6880.4404   -6902.4167      21.9763  2656.5
3.3200       -6883.6576  -6878.1441   -6902.7579      24.6138  2975.3
