Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.9300       -6885.4033  -6889.1465   -6906.3140      17.1673  2075.2
1.9400       -6885.4146  -6890.3755   -6905.8857      15.5103  1874.9
1.9500       -6885.4131  -6891.2896   -6906.3574      15.0679  1821.4
1.9600       -6885.4414  -6891.8989   -6907.1021      15.2033  1837.8
1.9700       -6885.4600  -6892.1538   -6906.8730      14.7190  1779.2
1.9800       -6885.4888  -6891.9819   -6907.0146      15.0327  1817.2
1.9900       -6885.5107  -6891.4619   -6908.1265      16.6643  2014.4
2.0000       -6885.4878  -6890.9785   -6908.5288      17.5502  2121.5
2.0100       -6885.4609  -6890.8457   -6907.4575      16.6119  2008.1
2.0200       -6885.4619  -6890.9268   -6908.4829      17.5562  2122.2
2.0300       -6885.4502  -6891.3672   -6908.1948      16.8276  2034.1
2.0400       -6885.4497  -6891.8560   -6906.0483      14.1923  1715.6
2.0500       -6885.4863  -6891.8247   -6906.7129      14.8883  1799.7
2.0600       -6885.4868  -6891.3853   -6908.4106      17.0254  2058.0
2.0700       -6885.4697  -6891.0903   -6907.9272      16.8370  2035.3
2.0800       -6885.4688  -6891.0015   -6907.8687      16.8673  2038.9
2.0900       -6885.4624  -6891.1245   -6908.5688      17.4444  2108.7
2.1000       -6885.4321  -6891.5698   -6908.5186      16.9485  2048.7
2.1100       -6885.4390  -6892.2275   -6908.1738      15.9462  1927.6
2.1200       -6885.4609  -6892.7061   -6907.1221      14.4162  1742.6
2.1300       -6885.4819  -6892.6689   -6907.0698      14.4011  1740.8
2.1400       -6885.5088  -6892.1094   -6906.7534      14.6442  1770.2
2.1500       -6885.5195  -6891.0654   -6907.0146      15.9494  1928.0
2.1600       -6885.5293  -6889.8335   -6907.1431      17.3097  2092.4
2.1700       -6885.4985  -6888.8398   -6907.0659      18.2262  2203.2
2.1800       -6885.4771  -6888.4902   -6906.7251      18.2350  2204.3
2.1900       -6885.4487  -6888.7705   -6905.9570      17.1868  2077.5
2.2000       -6885.4272  -6889.3574   -6906.4126      17.0554  2061.7
2.2100       -6885.4087  -6890.2305   -6907.3213      17.0908  2065.9
2.2200       -6885.4087  -6891.2437   -6906.4956      15.2519  1843.7
2.2300       -6885.4351  -6891.8926   -6906.1421      14.2496  1722.5
2.2400       -6885.4888  -6892.0220   -6906.6362      14.6143  1766.6
2.2500       -6885.5098  -6891.6284   -6905.9409      14.3127  1730.1
2.2600       -6885.5283  -6890.7090   -6905.9810      15.2718  1846.1
2.2700       -6885.5405  -6889.4165   -6907.0200      17.6037  2127.9
2.2800       -6885.4961  -6888.3916   -6907.9429      19.5513  2363.4
2.2900       -6885.4331  -6888.4741   -6908.0459      19.5719  2365.9
2.3000       -6885.3916  -6889.7622   -6908.2222      18.4597  2231.4
2.3100       -6885.3979  -6891.6050   -6907.6362      16.0314  1937.9
2.3200       -6885.3901  -6893.2104   -6908.4312      15.2209  1839.9
2.3300       -6885.4219  -6894.4863   -6909.1694      14.6832  1774.9
2.3400       -6885.4404  -6895.2349   -6909.1777      13.9431  1685.4
2.3500       -6885.4795  -6895.3403   -6908.5728      13.2322  1599.5
2.3600       -6885.5337  -6894.6836   -6907.4341      12.7504  1541.3
2.3700       -6885.5732  -6893.1309   -6907.3311      14.2000  1716.5
2.3800       -6885.5894  -6890.7188   -6907.6235      16.9048  2043.5
2.3900       -6885.5728  -6888.1714   -6905.8779      17.7067  2140.4
2.4000       -6885.5327  -6886.0303   -6905.0981      19.0677  2304.9
2.4100       -6885.4863  -6884.7734   -6904.6890      19.9154  2407.4
2.4200       -6885.4316  -6884.9321   -6905.8145      20.8822  2524.2
2.4300       -6885.3584  -6886.6875   -6904.9263      18.2386  2204.7
2.4400       -6885.3545  -6888.7837   -6904.3354      15.5517  1879.9
2.4500       -6885.3862  -6890.6304   -6905.9463      15.3157  1851.4
2.4600       -6885.4062  -6892.0210   -6905.8301      13.8091  1669.2
2.4700       -6885.4468  -6892.7192   -6906.6602      13.9408  1685.2
2.4800       -6885.4775  -6892.8242   -6907.9551      15.1307  1829.0
2.4900       -6885.4917  -6892.5830   -6908.4766      15.8936  1921.2
2.5000       -6885.5015  -6892.1860   -6907.6934      15.5072  1874.5
2.5100       -6885.5181  -6891.5664   -6906.3555      14.7890  1787.7
2.5200       -6885.5376  -6890.5576   -6905.9556      15.3979  1861.3
2.5300       -6885.5293  -6889.2012   -6906.2896      17.0885  2065.7
2.5400       -6885.5122  -6888.0020   -6906.3823      18.3803  2221.8
2.5500       -6885.4819  -6887.4868   -6906.8525      19.3655  2340.9
2.5600       -6885.4131  -6888.0322   -6906.8345      18.8021  2272.8
2.5700       -6885.4106  -6889.3257   -6905.3662      16.0407  1939.0
2.5800       -6885.4243  -6890.4321   -6905.4043      14.9720  1809.8
2.5900       -6885.4321  -6891.1426   -6905.9023      14.7597  1784.2
2.6000       -6885.4546  -6891.4097   -6906.0288      14.6192  1767.2
2.6100       -6885.4727  -6891.2671   -6907.8892      16.6220  2009.3
2.6200       -6885.4614  -6891.1797   -6908.6982      17.5184  2117.6
2.6300       -6885.4575  -6891.4297   -6907.5259      16.0963  1945.7
2.6400       -6885.4585  -6891.6099   -6906.8696      15.2597  1844.6
2.6500       -6885.4805  -6891.5337   -6907.5029      15.9694  1930.4
2.6600       -6885.4814  -6891.3677   -6908.4722      17.1044  2067.6
2.6700       -6885.4668  -6891.3818   -6907.5469      16.1651  1954.0
2.6800       -6885.4668  -6891.3564   -6906.4795      15.1229  1828.1
2.6900       -6885.4956  -6891.0444   -6906.5181      15.4737  1870.5
2.7000       -6885.4966  -6890.4775   -6907.4771      16.9993  2054.9
2.7100       -6885.4834  -6890.1060   -6908.3047      18.1988  2199.9
2.7200       -6885.4438  -6890.3115   -6907.9209      17.6095  2128.6
2.7300       -6885.4307  -6890.9199   -6907.1079      16.1879  1956.8
2.7400       -6885.4375  -6891.4912   -6907.1182      15.6268  1889.0
2.7500       -6885.4473  -6891.8662   -6907.5444      15.6780  1895.2
2.7600       -6885.4502  -6892.0723   -6908.3154      16.2429  1963.5
2.7700       -6885.4424  -6892.2871   -6909.2583      16.9711  2051.5
2.7800       -6885.4419  -6892.6851   -6908.9639      16.2787  1967.8
2.7900       -6885.4487  -6893.0527   -6908.4727      15.4199  1864.0
2.8000       -6885.4653  -6893.1543   -6907.9819      14.8276  1792.4
2.8100       -6885.4985  -6892.8652   -6907.8789      15.0135  1814.8
2.8200       -6885.4932  -6892.1826   -6908.5181      16.3355  1974.6
2.8300       -6885.4868  -6891.4551   -6908.0820      16.6268  2009.9
2.8400       -6885.4966  -6890.8384   -6907.1455      16.3069  1971.2
2.8500       -6885.4819  -6890.2432   -6907.6655      17.4224  2106.0
2.8600       -6885.4619  -6890.0332   -6908.9829      18.9499  2290.7
2.8700       -6885.4204  -6890.7129   -6909.4565      18.7435  2265.7
2.8800       -6885.3877  -6892.1514   -6908.8389      16.6873  2017.2
2.8900       -6885.4126  -6893.4473   -6906.9712      13.5240  1634.8
2.9000       -6885.4619  -6893.9624   -6907.5000      13.5376  1636.4
2.9100       -6885.4937  -6893.7720   -6908.4800      14.7080  1777.9
2.9200       -6885.4932  -6893.0879   -6909.0000      15.9123  1923.5
2.9300       -6885.5005  -6892.2607   -6909.3135      17.0528  2061.4
2.9400       -6885.4858  -6891.6230   -6909.3105      17.6876  2138.1
2.9500       -6885.4751  -6891.4409   -6908.9961      17.5552  2122.1
2.9600       -6885.4424  -6891.6309   -6908.2739      16.6430  2011.8
2.9700       -6885.4468  -6891.9668   -6908.2510      16.2842  1968.4
2.9800       -6885.4541  -6892.3135   -6908.7549      16.4414  1987.4
2.9900       -6885.4355  -6892.7109   -6909.6611      16.9501  2048.9
3.0000       -6885.4292  -6893.3135   -6909.7153      16.4019  1982.7
3.0100       -6885.4482  -6893.8721   -6908.6147      14.7426  1782.1
3.0200       -6885.4653  -6893.9937   -6908.7344      14.7408  1781.9
3.0300       -6885.4897  -6893.6914   -6908.8198      15.1285  1828.7
3.0400       -6885.5024  -6893.0317   -6908.4536      15.4220  1864.2
3.0500       -6885.5200  -6892.1084   -6908.2017      16.0933  1945.4
3.0600       -6885.5161  -6891.0767   -6907.9844      16.9079  2043.8
3.0700       -6885.4932  -6890.1704   -6906.3135      16.1429  1951.4
