Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.3900       -6880.6533  -6878.6162   -6900.6567      22.0404  2664.3
2.4000       -6880.7036  -6879.8687   -6901.9160      22.0473  2665.1
2.4100       -6880.7290  -6880.5522   -6904.6763      24.1242  2916.1
2.4200       -6880.7290  -6881.0967   -6904.8970      23.8001  2877.0
2.4300       -6880.7534  -6881.3696   -6903.0742      21.7045  2623.6
2.4400       -6880.7939  -6880.9614   -6904.1001      23.1388  2797.0
2.4500       -6880.7969  -6880.1211   -6905.2793      25.1584  3041.2
2.4600       -6880.7871  -6879.3994   -6903.5293      24.1298  2916.8
2.4700       -6880.7998  -6878.6235   -6901.5107      22.8871  2766.6
2.4800       -6880.8135  -6877.4521   -6901.7153      24.2631  2932.9
2.4900       -6880.7988  -6876.1758   -6903.3281      27.1523  3282.2
2.5000       -6880.7539  -6875.6650   -6902.7808      27.1156  3277.7
2.5100       -6880.7168  -6876.0483   -6902.0557      26.0072  3143.8
2.5200       -6880.7021  -6876.9731   -6902.1875      25.2143  3047.9
2.5300       -6880.6982  -6878.0928   -6902.0098      23.9170  2891.1
2.5400       -6880.7197  -6878.9937   -6901.6533      22.6595  2739.1
2.5500       -6880.7476  -6879.3877   -6901.8530      22.4652  2715.6
2.5600       -6880.7759  -6879.2451   -6902.9697      23.7246  2867.8
2.5700       -6880.7808  -6878.8335   -6902.9014      24.0681  2909.4
2.5800       -6880.7808  -6878.3203   -6902.7339      24.4134  2951.1
2.5900       -6880.7773  -6877.7612   -6901.7754      24.0143  2902.9
2.6000       -6880.7803  -6877.1782   -6902.5186      25.3404  3063.2
2.6100       -6880.7598  -6876.8164   -6902.4858      25.6692  3102.9
2.6200       -6880.7354  -6876.8833   -6903.0884      26.2049  3167.7
2.6300       -6880.7095  -6877.5610   -6903.6538      26.0928  3154.1
2.6400       -6880.6948  -6878.6313   -6902.1450      23.5135  2842.3
2.6500       -6880.7202  -6879.4272   -6902.6646      23.2374  2808.9
2.6600       -6880.7217  -6879.9849   -6905.6602      25.6751  3103.6
2.6700       -6880.7056  -6880.8364   -6904.9692      24.1330  2917.2
2.6800       -6880.7339  -6881.4580   -6902.2769      20.8187  2516.6
2.6900       -6880.7896  -6881.2202   -6904.1191      22.8988  2768.0
2.7000       -6880.8042  -6880.3921   -6902.2524      21.8603  2642.5
2.7100       -6880.8477  -6878.9531   -6901.4463      22.4930  2719.0
2.7200       -6880.8481  -6876.7905   -6903.5830      26.7923  3238.7
2.7300       -6880.7959  -6875.0947   -6902.2998      27.2053  3288.6
